Model,Seed,Metric,ER,PR,HER2,experiment,round
finetuned_model,42,balanced_accuracy,0.6795644114921223,0.6835647906442519,0.5358649789029536,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250226_135146
finetuned_model,42,accuracy,0.8348623853211009,0.7981651376146789,0.7155963302752294,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250225_203453
finetuned_model,42,auc,0.8828776645041706,0.8391980787302913,0.7908227848101266,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250225_203453
finetuned_model,42,balanced_accuracy,0.7330861909175161,0.6944763495875536,0.5401898734177215,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250225_203453
finetuned_model,42,accuracy,0.8165137614678899,0.7889908256880734,0.7385321100917431,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250226_035841
finetuned_model,42,auc,0.8447636700648748,0.8195677143155476,0.7600210970464135,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250226_035841
finetuned_model,42,balanced_accuracy,0.6946246524559778,0.708154954578678,0.5766877637130802,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250226_035841
finetuned_model,42,accuracy,0.8165137614678899,0.7889908256880734,0.7064220183486238,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250225_180741
finetuned_model,42,auc,0.8575069508804448,0.8229090529393338,0.7638185654008439,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250225_180741
finetuned_model,42,balanced_accuracy,0.7342446709916589,0.7181789704500365,0.554535864978903,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250225_180741
finetuned_model,42,accuracy,0.8302752293577982,0.8119266055045872,0.7247706422018348,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True,st_PCA;True",20250226_134530
finetuned_model,42,auc,0.8674698795180723,0.8382583272423515,0.739029535864979,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True,st_PCA;True",20250226_134530
finetuned_model,42,balanced_accuracy,0.7498841519925857,0.7441265532003759,0.5775316455696202,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True,st_PCA;True",20250226_134530
finetuned_model,42,accuracy,0.8348623853211009,0.8165137614678899,0.7568807339449541,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True,st_PCA;True",20250225_180537
finetuned_model,42,auc,0.8780120481927711,0.844732170825937,0.7483122362869197,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True,st_PCA;True",20250225_180537
finetuned_model,42,balanced_accuracy,0.7594995366079704,0.7322752427691344,0.6100210970464135,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True,st_PCA;True",20250225_180537
finetuned_model,42,accuracy,0.8348623853211009,0.8119266055045872,0.7110091743119266,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True,st_PCA;True",20250225_180705
